"Date","Open","High","Low","Close","Volume","Adj Close"
2016-09-01,122.2799,123.1299,121.9499,122.7099,2511000,122.7099
2016-09-02,123.8677,125.2877,122.3277,122.5477,7168000,122.5477
2016-09-05,122.5411,123.1211,122.5411,122.5611,3507000,122.5611
2016-09-06,122.4889,123.0789,121.9489,122.8289,4584000,122.8289
2016-09-07,122.6867,123.7367,122.6767,123.4567,3943000,123.4567
2016-09-08,123.8345,124.2245,123.5645,123.8345,1479000,123.8345
2016-09-09,123.5323,123.8023,123.5323,123.5823,398000,123.5823
2016-09-12,123.4358,123.4358,121.8258,121.9458,12167000,121.9458
2016-09-13,121.5536,122.4236,121.5536,122.0036,156000,122.0036
2016-09-14,122.3414,122.3714,121.8214,122.1514,2391000,122.1514
2016-09-19,122.0904,122.5604,122.0904,122.5104,13231000,122.5104
2016-09-20,122.1282,122.5582,122.1282,122.1782,98000,122.1782
2016-09-21,122.286,122.906,122.286,122.556,1188000,122.556
2016-09-22,122.5538,124.0038,122.5538,123.6038,28490000,123.6038
2016-09-23,123.2016,123.6916,122.6116,123.6316,4017000,123.6316
2016-09-26,122.9051,123.6651,122.6151,123.1951,754000,123.1951
2016-09-27,123.0229,123.9729,122.9929,123.0329,7738000,123.0329
2016-09-28,122.8907,123.7607,122.8807,123.2107,1255000,123.2107
2016-09-29,122.9485,123.5685,122.9485,123.3785,210000,123.3785
2016-09-30,122.9363,123.8763,122.9363,123.3463,907000,123.3463
2016-10-10,122.9644,122.9644,120.7644,121.2644,17730000,121.2644
2016-10-11,121.2522,122.1622,120.9422,121.8622,1883000,121.8622
2016-10-12,121.64,121.83,121.24,121.54,1735000,121.54
2016-10-13,121.8178,121.8178,121.1778,121.2078,1544000,121.2078
2016-10-14,121.0056,121.3456,120.5856,120.8156,14902000,120.8156
2016-10-17,120.809,120.949,120.569,120.649,7070000,120.649
2016-10-18,120.6068,121.1268,120.6068,121.1168,551000,121.1168
2016-10-19,121.2647,121.7547,121.1647,121.6547,10226000,121.6547
2016-10-20,121.9125,121.9225,121.5325,121.7225,5373000,121.7225
2016-10-21,121.7203,122.2403,121.6403,121.9903,3426000,121.9903
