,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
2686,000300.SH,20120611,2558.265,2529.599,2565.429,2523.774,2524.329,33.936,1.3444,40098260.0,43449657.466
2687,000300.SH,20120608,2524.329,2558.843,2559.128,2520.409,2542.184,-17.855,-0.7023,43856426.0,47638005.888
2688,000300.SH,20120607,2542.184,2579.425,2584.039,2536.258,2557.401,-15.217,-0.595,34841186.0,42053000.073
2689,000300.SH,20120606,2557.401,2564.226,2573.739,2547.334,2558.842,-1.441,-0.0563,33857694.0,41316908.581
2690,000300.SH,20120605,2558.842,2565.186,2573.887,2548.76,2559.026,-0.184,-0.0072,37779910.0,43553303.591
2691,000300.SH,20120604,2559.026,2598.733,2608.316,2558.92,2632.998,-73.972,-2.8094,52478502.0,60615569.451
2692,000300.SH,20120601,2632.998,2633.601,2653.857,2623.289,2632.042,0.956,0.0363,44191056.0,53843404.285
2693,000300.SH,20120531,2632.042,2623.158,2645.591,2617.228,2642.258,-10.216,-0.3866,44107469.0,49875041.384
2694,000300.SH,20120530,2642.258,2646.37,2655.163,2636.518,2650.854,-8.596,-0.3243,51855436.0,56976275.428
2695,000300.SH,20120529,2650.854,2615.145,2658.255,2612.564,2614.689,36.165,1.3831,72135637.0,78681504.585
2696,000300.SH,20120528,2614.689,2562.596,2614.849,2545.336,2573.103,41.586,1.6162,56339275.0,58412343.035
2697,000300.SH,20120525,2573.103,2595.261,2602.17,2565.647,2595.26,-22.157,-0.8537,39273004.0,41420081.778
2698,000300.SH,20120524,2595.26,2613.095,2630.414,2588.209,2616.869,-21.609,-0.8258,42844066.0,50064439.874
2699,000300.SH,20120523,2616.869,2621.786,2635.78,2598.29,2627.525,-10.656,-0.4056,43719531.0,52563403.31
2700,000300.SH,20120522,2627.525,2598.167,2627.602,2597.603,2587.231,40.294,1.5574,42773529.0,49392413.014
2701,000300.SH,20120521,2587.231,2572.369,2604.219,2563.973,2573.976,13.255,0.515,38602090.0,44300405.781
2702,000300.SH,20120518,2573.976,2595.547,2603.191,2567.302,2613.942,-39.966,-1.529,43422124.0,46907511.775
